"ID","INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","UOR_DESC","LEOKA_APPLIES","OFFICER_KILLED","TYPE_OF_ASSIGNMENT","TYPE_OF_ACTIVITY","OFFENSE_CITY","OFFENSE_ZIP"
"1","80-10-001586","2010-01-01 00:44:00","2010-01-01 00:44:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","424","HIGHWAY / ROAD / ALLEY","I65S AT CRITTENDEN DR                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40217"
"2","80-10-002188","2010-01-11 07:20:00","2010-01-11 07:20:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","RESTAURANT","700 BLOCK W BROADWAY                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"3","80-10-002188","2010-01-11 07:20:00","2010-01-11 07:20:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","RESTAURANT","700 BLOCK W BROADWAY                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"4","80-10-003677","2010-01-16 02:38:00","2010-01-16 02:38:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","JAIL / PENITENTARY","400 BLOCK S 6TH ST                                          ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40202"
"5","80-10-001766","2010-01-09 02:25:00","2010-01-09 02:25:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","HOTEL / MOTEL / ETC.","300 BLOCK W JEFFERSON ST                                    ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","ALL OTHER","LOUISVILLE","40202"
"6","80-10-004095","2010-01-18 03:50:00","2010-01-18 03:50:00","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","735","RESIDENCE / HOME","5400 BLOCK OUTER LOOP                                       ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40219"
"7","80-10-002007","2010-01-10 03:58:00","2010-01-10 03:58:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","223","RESIDENCE / HOME","2800 BLOCK HALE AVE                                         ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40211"
"8","80-10-002007","2010-01-10 03:58:00","2010-01-10 03:58:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","223","RESIDENCE / HOME","2800 BLOCK HALE AVE                                         ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40211"
"9","80-10-004638","2010-01-18 18:00:00","2010-01-18 18:00:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","PARKING LOT / GARAGE","BARDSTOWN RD / BEECHWOOD AVE                                ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40204"
"10","80-10-005410","2010-01-22 20:56:00","2010-01-22 20:56:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","223","RESIDENCE / HOME","2600 BLOCK VIRGINIA AVE                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40211"
