INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,year
80-06-008380,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA
80-10-002211,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA
80-10-002211,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA
80-17-000578,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40272,NULL,NULL,NULL,NA
80-17-001680,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40272,NULL,NULL,NULL,NA
80-17-002802,DEATH INVESTIGATION,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40211,NULL,NULL,NULL,NA
80-17-005762,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40203,NULL,NULL,NULL,NA
80-17-005978,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40215,NULL,NULL,NULL,NA
80-17-006522,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA
80-17-006938,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40206,NULL,NULL,NULL,NA
80-17-008744,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA
80-17-009944,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA
80-17-009944,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA
80-17-009944,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA
80-17-010334,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40258,NULL,NULL,NULL,NA
80-17-010650,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40272,NULL,NULL,NULL,NA
