YEAR,CRIME_TYPE,COUNT
2008,ARSON,13
2008,ASSAULT,9135
2008,BURGLARY,7260
2008,DISTURBING THE PEACE,1698
2008,DRUGS/ALCOHOL VIOLATIONS,12593
2008,DUI,215
2008,FRAUD,3404
2008,HOMICIDE,75
2008,MOTOR VEHICLE THEFT,3018
2008,OTHER,17167
2008,ROBBERY,1828
2008,SEX CRIMES,724
2008,THEFT/LARCENY,13731
2008,VANDALISM,7426
2008,VEHICLE BREAK-IN/THEFT,6760
2008,WEAPONS,730
2009,ARSON,10
2009,ASSAULT,9211
2009,BURGLARY,7145
2009,DISTURBING THE PEACE,661
2009,DRUGS/ALCOHOL VIOLATIONS,12617
2009,DUI,30
2009,FRAUD,3353
2009,HOMICIDE,68
2009,MOTOR VEHICLE THEFT,2090
2009,OTHER,14154
2009,ROBBERY,1619
2009,SEX CRIMES,727
2009,THEFT/LARCENY,12939
2009,VANDALISM,6680
2009,VEHICLE BREAK-IN/THEFT,5903
2009,WEAPONS,721
2010,ARSON,4
2010,ASSAULT,10367
2010,BURGLARY,7632
2010,DISTURBING THE PEACE,493
2010,DRUGS/ALCOHOL VIOLATIONS,13455
2010,DUI,14
2010,FRAUD,3063
2010,HOMICIDE,60
2010,MOTOR VEHICLE THEFT,2340
2010,OTHER,14970
2010,ROBBERY,1625
2010,SEX CRIMES,604
2010,THEFT/LARCENY,13897
2010,VANDALISM,6651
2010,VEHICLE BREAK-IN/THEFT,7031
2010,WEAPONS,728
2011,ARSON,9
2011,ASSAULT,10446
2011,BURGLARY,8089
2011,DISTURBING THE PEACE,425
2011,DRUGS/ALCOHOL VIOLATIONS,13436
2011,DUI,21
2011,FRAUD,3032
2011,HOMICIDE,50
2011,MOTOR VEHICLE THEFT,2636
2011,OTHER,15771
2011,ROBBERY,1659
2011,SEX CRIMES,687
2011,THEFT/LARCENY,15913
2011,VANDALISM,6428
2011,VEHICLE BREAK-IN/THEFT,6522
2011,WEAPONS,748
2012,ARSON,4
2012,ASSAULT,12930
2012,BURGLARY,7158
2012,DISTURBING THE PEACE,484
2012,DRUGS/ALCOHOL VIOLATIONS,16096
2012,DUI,7
2012,FRAUD,3025
2012,HOMICIDE,65
2012,MOTOR VEHICLE THEFT,2440
2012,OTHER,9786
2012,ROBBERY,1425
2012,SEX CRIMES,603
2012,THEFT/LARCENY,15114
2012,VANDALISM,5867
2012,VEHICLE BREAK-IN/THEFT,5257
2012,WEAPONS,820
2013,ARSON,9
2013,ASSAULT,11900
2013,BURGLARY,7023
2013,DISTURBING THE PEACE,473
2013,DRUGS/ALCOHOL VIOLATIONS,14955
2013,DUI,7
2013,FRAUD,3222
2013,HOMICIDE,54
2013,MOTOR VEHICLE THEFT,2282
2013,OTHER,7305
2013,ROBBERY,1523
2013,SEX CRIMES,544
2013,THEFT/LARCENY,16088
2013,VANDALISM,5397
2013,VEHICLE BREAK-IN/THEFT,5364
2013,WEAPONS,681
2014,ARSON,13
2014,ASSAULT,12312
2014,BURGLARY,6568
2014,DISTURBING THE PEACE,412
2014,DRUGS/ALCOHOL VIOLATIONS,14540
2014,DUI,9
2014,FRAUD,3601
2014,HOMICIDE,66
2014,MOTOR VEHICLE THEFT,2509
2014,OTHER,7371
2014,ROBBERY,1568
2014,SEX CRIMES,495
2014,THEFT/LARCENY,16405
2014,VANDALISM,5511
2014,VEHICLE BREAK-IN/THEFT,4932
2014,WEAPONS,894
2015,ARSON,4
2015,ASSAULT,13379
2015,BURGLARY,6403
2015,DISTURBING THE PEACE,493
2015,DRUGS/ALCOHOL VIOLATIONS,14289
2015,DUI,3
2015,FRAUD,4260
2015,HOMICIDE,88
2015,MOTOR VEHICLE THEFT,3245
2015,OTHER,8104
2015,ROBBERY,1577
2015,SEX CRIMES,478
2015,THEFT/LARCENY,15626
2015,VANDALISM,5462
2015,VEHICLE BREAK-IN/THEFT,4768
2015,WEAPONS,1171
2016,ARSON,11
2016,ASSAULT,14166
2016,BURGLARY,6087
2016,DISTURBING THE PEACE,533
2016,DRUGS/ALCOHOL VIOLATIONS,13810
2016,DUI,5
2016,FRAUD,4189
2016,HOMICIDE,114
2016,MOTOR VEHICLE THEFT,4414
2016,OTHER,8344
2016,ROBBERY,1578
2016,SEX CRIMES,427
2016,THEFT/LARCENY,15664
2016,VANDALISM,6267
2016,VEHICLE BREAK-IN/THEFT,6437
2016,WEAPONS,1357
2017,ARSON,5
2017,ASSAULT,13936
2017,BURGLARY,5642
2017,DISTURBING THE PEACE,335
2017,DRUGS/ALCOHOL VIOLATIONS,14473
2017,DUI,5
2017,FRAUD,4063
2017,HOMICIDE,113
2017,MOTOR VEHICLE THEFT,3917
2017,OTHER,7927
2017,ROBBERY,1360
2017,SEX CRIMES,384
2017,THEFT/LARCENY,14601
2017,VANDALISM,5773
2017,VEHICLE BREAK-IN/THEFT,6055
2017,WEAPONS,1575
